year,song_title,artist_credit_name,artist_name,language_name,iso_code_3t,release_country_code,artist_country_code,track_id,recording_id,release_id,artist_id,likely_french_score,genre_name,genius_found,genius_song_id,genius_title,genius_artist,genius_url,genius_match_score,lyrics_found,lyrics_text,lyrics_source
1930.0,"Véronique : duo de l'escarpolette, 1re partie","Roger Bourdin, Emma Luart",Roger Bourdin,French,fra,FR,FR,45851699,17520805,4267872.0,1210476.0,8,,False,,,,,0.0,False,,
1932.0,Monpetit,Léoni Avec Jazz Bidgood,Henri Leoni,French,fra,FR,FR,38874806,32411007,3481297.0,2099905.0,7,,True,458088.0,Madame Swann at Home (Chapter 1),Marcel Proust,https://genius.com/Marcel-proust-madame-swann-at-home-chapter-1-lyrics,0.2175,False,,
1932.0,Mon arc-en-ciel,Léoni Avec Jazz Bidgood,Henri Leoni,French,fra,FR,FR,38874807,32411008,3481297.0,2099905.0,7,,False,,,,,0.0,False,,
1932.0,Sans toi,Mlle Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,28868143,3836579,2480697.0,121858.0,7,,True,1258152.0,Si Petite,Lucienne Boyer,https://genius.com/Lucienne-boyer-si-petite-lyrics,0.6559,False,,
1927.0,Youp et youp,Mlle Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,28869901,18883632,2480870.0,121858.0,8,,True,462323.0,Names of People (Chapter 1),Marcel Proust,https://genius.com/Marcel-proust-names-of-people-chapter-1-annotated,0.2185,False,,
1927.0,Pas comme avec toi,Mlle Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,28869902,8428672,2480870.0,121858.0,7,,True,462325.0,A Visit from Albertine (Chapter 2),Marcel Proust,https://genius.com/Marcel-proust-a-visit-from-albertine-chapter-2-annotated,0.3019,False,,
1930.0,Le Coup dur,Mlle Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,28869927,18883636,2480872.0,121858.0,8,,True,462323.0,Names of People (Chapter 1),Marcel Proust,https://genius.com/Marcel-proust-names-of-people-chapter-1-annotated,0.2571,False,,
1930.0,Attends,Mlle Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,28869928,8428682,2480872.0,121858.0,7,,True,5168609.0,Gala de l’ADISQ 1986,ADISQ,https://genius.com/Adisq-gala-de-ladisq-1986-annotated,0.2294,False,,
1930.0,Parle‐moi…,Mlle Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,28869934,8428677,2480874.0,121858.0,7,,True,1158254.0,La Barque DYves,Lucienne Boyer,https://genius.com/Lucienne-boyer-la-barque-dyves-lyrics,0.506,False,,
1930.0,Prenez mes roses,Mlle Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,28869935,8428680,2480874.0,121858.0,7,,True,2984731.0,Veillée Pinouilles - Chapitre 7,James Joyce,https://genius.com/James-joyce-veillee-pinouilles-chapitre-7-annotated,0.3336,False,,
1929.0,Les Ananas,Maurice Chevalier,Maurice Chevalier,French,fra,FR,FR,47104002,4012540,4412888.0,4033.0,8,,False,,,,,0.0,False,,
1929.0,Valentine,Maurice Chevalier,Maurice Chevalier,French,fra,FR,FR,47104003,26234299,4412888.0,4033.0,7,,True,906531.0,Valentine,Maurice Chevalier,https://genius.com/Maurice-chevalier-valentine-lyrics,1.0,True,"1 Contributor
Valentine Lyrics
On se rappelle toujours sa première maîtresse
J'ai gardé d'la mienne un souvenir pleine d'ivresse
Un jour qu'il avait plu
Tous deux on s'était plu
Ensuite on se plut de plus en plus
J'lui d'mandait son nom, elle me dit Valentine
Et comme elle suivait chaque soir la rue Custine
Je pris le même chemin
Et puis j'lui pris la main
J'lui pris tout enfin
Elle avait des tout petits petons, Valentine, Valentine
Elle avait des tout petits tétons
Que je tâtais à tâtons, Ton ton tontaine
Elle avait un tout petit menton, Valentine, Valentine
Outre ses petits petons ses petits tétons son petit menton
Elle était frisée comme un mouton
Elle n'était pas une grande intelligence
Mais dans un plumard, ça n'a pas d'importance
Quand on a dix-huit ans
On n'en demande pas tant
Du moment qu'on s'aime, on est content
Elle n'avait pas un très bon caractère
Elle était jalouse et même autoritaire
Pourtant, j'en étais fous
Elle me plaisait beaucoup
Parce que surtout

Elle avait des tout petits petons, Valentine, Valentine
Elle avait des tout petits tétons
Que je tâtais à tâtons, Ton ton tontaine
Elle avait un tout petit menton, Valentine, Valentine
Outre ses petits petons ses petits tétons son petit menton
Elle était frisée comme un mouton
Hier, sur le boulevard, je rencontre une grosse dame
Avec des grands pieds, une taille d'hippopotame
Vivement elle m'saute au cou
Me crie bonjour, mon loup
Je lui dis pardon, mais qui êtes vous
Elle sourit voyons, mais c'est moi, Valentine
Devant son double menton, sa triple poitrine
Je pensais, rempli d'effroi
Qu'elle a changé , ma foi
Dire qu'autre fois
Elle avait des tout petits petons, Valentine
Mais ils sont enflés à présent Valentine
Elle avait des tout petits tétons des vraie p'tite pommes
Non non j'aime mieux parler d'autre chose voila
Elle avait elle avait un tout petit menton, avec une p'tite pincette
Elle en a quatre ou cinq mentons maintenant
Oh cette pauvre petite Valentine ça d'vrait pas être permis ça non
C'est des trucs qui ne devarait pas être permis
Non",genius
1931.0,Quand la brise vagabonde,Comedian Harmonists,Comedian Harmonists,French,fra,FR,DE,38912960,32437656,3485821.0,32974.0,6,,True,922377.0,Quand la brise vagabonde,Comedian Harmonists,https://genius.com/Comedian-harmonists-quand-la-brise-vagabonde-lyrics,1.0,True,"1 Contributor
Quand la brise vagabonde Lyrics
Quand la brise vagabonde
Je lui chante pour ma blonde
Ma plus tendre ritournelle
Qu'elle emporte sur son aile
C'est le vent qui dit à ma belle
Que je lui suis toujours fidèle
Car la brise sera toujours
Messagère de l'amour
Dans ma patrie
Nul ne t'oublie
Je pense à toi toujours
Je te témoigne
Plus je m'éloigne
Mille preuves d'amour
Quand la brise vagabonde
Je lui chante pour ma blonde
Ma plus tendre ritournelle
Qu'elle emporte sur son aile
C'est le vent qui dit à ma belle
Que je lui suis toujours fidèle
Car la brise sera toujours
Messagère de l'amour
Messagère de l'amour",genius
1931.0,Les gars de la marine,Comedian Harmonists,Comedian Harmonists,French,fra,FR,DE,38912959,935255,3485821.0,32974.0,6,,True,1411730.0,Les gars de la marine (Das ist die Liebe der Matrosen),Comedian Harmonists,https://genius.com/Comedian-harmonists-les-gars-de-la-marine-das-ist-die-liebe-der-matrosen-lyrics,0.714,False,,
1931.0,"Véronique, le printemps est là",Comedian Harmonists,Comedian Harmonists,[Multiple languages],mul,FR,DE,38914069,32438464,3485923.0,32974.0,3,,False,,,,,0.0,False,,
1929.0,Adieu Paris,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42963417,3763368,3940186.0,223745.0,8,,True,181579.0,Ulysses (Chap. 16 - Eumaeus),James Joyce,https://genius.com/James-joyce-ulysses-chap-16-eumaeus-annotated,0.2275,False,,
1929.0,À Paname un soir,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42963418,8892818,3940186.0,223745.0,8,,False,,,,,0.0,False,,
1929.0,C’est un petit nid,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42963470,35326512,3940194.0,223745.0,8,,False,,,,,0.0,False,,
1930.0,C’est mon gigolo,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42963496,3553446,3940197.0,223745.0,7,,False,,,,,0.0,False,,
1930.0,Tu me dis non,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42963497,35326528,3940197.0,223745.0,7,,False,,,,,0.0,False,,
1930.0,Désir,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42981454,35339054,3942468.0,223745.0,7,,True,118240.0,Tess of the D’Urbervilles: Chapter 5,Thomas Hardy,https://genius.com/Thomas-hardy-tess-of-the-durbervilles-chapter-5-annotated,0.2118,False,,
